Date,Symbol,Open,High,Low,Close,Volume,Month,Daily_Return,Price_Change,Sector
2024-02-02 05:30:00,JSWSTEEL,809.25,826.3,805.1,823.55,2871131,2024-02,2.725458400898084,14.299999999999955,STEEL
2024-02-05 05:30:00,JSWSTEEL,824.15,834.0,811.0,814.65,2056107,2024-02,-1.0806872685325652,-9.5,STEEL
2024-02-06 05:30:00,JSWSTEEL,814.65,820.75,805.1,818.75,1547506,2024-02,0.5032836187319756,4.100000000000023,STEEL
2024-02-07 05:30:00,JSWSTEEL,827.4,842.9,823.0,836.6,3647454,2024-02,2.1801526717557307,9.200000000000045,STEEL
2024-02-08 05:30:00,JSWSTEEL,841.45,841.45,818.0,822.1,2294805,2024-02,-1.7332058331341105,-19.350000000000023,STEEL
2024-02-09 05:30:00,JSWSTEEL,824.9,825.0,800.45,811.75,1396058,2024-02,-1.2589709281109362,-13.149999999999977,STEEL
2024-02-12 05:30:00,JSWSTEEL,818.0,819.6,802.45,811.5,1408603,2024-02,-0.030797659377890252,-6.5,STEEL
2024-02-13 05:30:00,JSWSTEEL,812.95,814.7,790.55,812.65,1675844,2024-02,0.14171287738755645,-0.3000000000000682,STEEL
2024-02-14 05:30:00,JSWSTEEL,798.0,815.8,796.55,813.25,1546826,2024-02,0.07383252322648026,15.25,STEEL
2024-02-15 05:30:00,JSWSTEEL,818.0,820.75,805.6,812.35,1482200,2024-02,-0.11066707654472374,-5.649999999999977,STEEL
2024-02-16 05:30:00,JSWSTEEL,818.15,824.4,813.5,819.95,1774587,2024-02,0.9355573336615963,1.8000000000000682,STEEL
2024-02-19 05:30:00,JSWSTEEL,825.95,825.95,814.0,820.2,829517,2024-02,0.03048966400389652,-5.75,STEEL
2024-02-20 05:30:00,JSWSTEEL,825.0,825.0,811.8,821.2,1384043,2024-02,0.12192148256522373,-3.7999999999999545,STEEL
2024-02-21 05:30:00,JSWSTEEL,821.0,850.0,820.95,828.25,6419882,2024-02,0.8584997564539565,7.25,STEEL
2024-02-22 05:30:00,JSWSTEEL,831.0,835.15,820.05,828.65,2366934,2024-02,0.04829459704194239,-2.3500000000000227,STEEL
2024-02-23 05:30:00,JSWSTEEL,835.0,836.3,819.25,821.0,1736000,2024-02,-0.9231883183491219,-14.0,STEEL
2024-02-26 05:30:00,JSWSTEEL,825.2,827.8,806.2,808.75,1188689,2024-02,-1.4920828258221719,-16.450000000000045,STEEL
2024-02-27 05:30:00,JSWSTEEL,808.95,820.55,805.7,818.95,1331211,2024-02,1.2612055641421982,10.0,STEEL
2024-02-28 05:30:00,JSWSTEEL,822.7,822.75,795.0,798.6,1851909,2024-02,-2.484889187374084,-24.100000000000023,STEEL
2024-02-29 05:30:00,JSWSTEEL,801.0,805.9,790.0,800.1,3155812,2024-02,0.18782870022540088,-0.8999999999999773,STEEL
2024-03-01 05:30:00,JSWSTEEL,804.25,839.7,804.25,836.2,5377896,2024-03,4.511936007998996,31.950000000000045,STEEL
2024-03-02 05:30:00,JSWSTEEL,839.5,847.0,834.4,844.95,475975,2024-03,1.0464003826835766,5.4500000000000455,STEEL
2024-03-04 05:30:00,JSWSTEEL,839.0,839.0,818.5,824.3,3821690,2024-03,-2.4439315935854244,-14.700000000000045,STEEL
2024-03-05 05:30:00,JSWSTEEL,825.1,826.65,811.0,819.3,2630517,2024-03,-0.6065752759917498,-5.800000000000068,STEEL
2024-03-06 05:30:00,JSWSTEEL,820.4,823.0,800.0,812.9,2041620,2024-03,-0.7811546442084705,-7.5,STEEL
2024-03-07 05:30:00,JSWSTEEL,820.0,844.9,818.05,830.0,5074846,2024-03,2.1035797761102204,10.0,STEEL
2024-03-11 05:30:00,JSWSTEEL,832.0,836.6,822.15,829.8,1622850,2024-03,-0.02409638554217164,-2.2000000000000455,STEEL
2024-03-12 05:30:00,JSWSTEEL,829.0,829.3,815.0,817.8,1231413,2024-03,-1.4461315979754197,-11.200000000000045,STEEL
2024-03-13 05:30:00,JSWSTEEL,818.4,820.6,788.45,792.95,3047464,2024-03,-3.0386402543409075,-25.449999999999932,STEEL
2024-03-14 05:30:00,JSWSTEEL,792.0,792.95,761.75,785.45,5262918,2024-03,-0.9458351724572767,-6.5499999999999545,STEEL
2024-03-15 05:30:00,JSWSTEEL,782.1,790.2,774.55,780.65,3992861,2024-03,-0.6111146476542206,-1.4500000000000455,STEEL
2024-03-18 05:30:00,JSWSTEEL,780.65,808.5,778.5,804.4,3561533,2024-03,3.0423365144431003,23.75,STEEL
2024-03-19 05:30:00,JSWSTEEL,802.0,809.95,793.75,801.05,2192986,2024-03,-0.4164594728990556,-0.9500000000000455,STEEL
2024-03-20 05:30:00,JSWSTEEL,802.2,810.0,789.3,794.65,1538050,2024-03,-0.7989513763185796,-7.550000000000068,STEEL
2024-03-21 05:30:00,JSWSTEEL,804.0,819.45,803.1,812.35,2783067,2024-03,2.2273957088026153,8.350000000000023,STEEL
2024-03-22 05:30:00,JSWSTEEL,808.0,832.95,806.75,824.8,3983433,2024-03,1.5325906321166816,16.799999999999955,STEEL
2024-03-26 05:30:00,JSWSTEEL,820.55,834.0,818.05,821.9,2454193,2024-03,-0.3516003879728391,1.3500000000000227,STEEL
2024-03-27 05:30:00,JSWSTEEL,825.0,832.4,815.4,818.05,1884038,2024-03,-0.46842681591434676,-6.9500000000000455,STEEL
2024-03-28 05:30:00,JSWSTEEL,827.0,840.85,820.0,830.2,3722941,2024-03,1.4852392885520649,3.2000000000000455,STEEL
2024-04-01 05:30:00,JSWSTEEL,838.0,876.45,838.0,871.95,6053539,2024-04,5.0289086966995855,33.950000000000045,STEEL
2024-04-02 05:30:00,JSWSTEEL,871.1,881.85,861.55,879.25,2784783,2024-04,0.8372039681174392,8.149999999999977,STEEL
2024-04-03 05:30:00,JSWSTEEL,877.85,879.55,867.1,869.0,1980049,2024-04,-1.1657662780779066,-8.850000000000023,STEEL
2024-04-04 05:30:00,JSWSTEEL,876.3,878.65,853.55,862.5,2790334,2024-04,-0.7479861910241636,-13.799999999999955,STEEL
2024-04-05 05:30:00,JSWSTEEL,860.0,864.55,846.95,857.1,1847243,2024-04,-0.626086956521732,-2.8999999999999773,STEEL
2024-04-08 05:30:00,JSWSTEEL,864.0,878.0,860.25,876.45,2462906,2024-04,2.257612880644033,12.450000000000045,STEEL
